subject;stimulus_identity
118;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
119;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
122;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
123;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
124;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
125;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
126;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
128;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
129;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
130;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
131;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
132;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
133;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
137;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
140;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
141;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
143;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
144;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
145;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
146;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
147;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
148;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
149;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
150;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
151;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
152;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
153;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
155;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
157;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
159;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
161;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
162;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
163;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
164;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
167;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
168;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
170;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
172;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
173;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
174;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
175;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
177;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
179;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
181;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
184;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
