subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
       26;20;M;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2; 0; 0; 2; 2; 0; 2; 0; 2; 2; 2; 2; 2; 0; 2; 1,00; 1,50; 1,50; 1,50; -0,50; 0,00;  0,50;  0,00;I would try Brand 3;I would try Brand 4;-2;-2;-2;-1;I don't know why I evaluated the items as I did;Not Demand Compliant;no;NA;no;NA; 0,08407237;Learning_Inconsistent_First;-0,08407237; 0,08407237
       28;25;F;Implicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2;-2; 2; 0; 0; 2; 0;-2;-2; 2;-2;-2; 0; 2;-2; 1,00;-1,00; 0,50;-0,50;  2,00; 1,00; -2,00; -1,00;I would try neither Brand;I would try neither Brand; 3; 0; 2;-3;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA; 0,30864891;Learning_Inconsistent_First;-0,30864891; 0,30864891
       29;27;M;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;2;no;NA; 0,48749564;Learning_Consistent_First; 0,48749564;-0,48749564
       31;23;M;Implicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try neither Brand;I don't know; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,59203395;Learning_Consistent_First; 0,59203395;-0,59203395
       32;35;M;Implicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 2;-2;-2; 2; 3; 1; 2;-2; 1; 2; 1; 2; 3; 3; 2;-0,50; 0,50; 2,00; 2,50; -1,00;-0,50;  1,00;  0,50;I would try Brand 3;I would try Brand 4;-2; 3; 3; 4;What I learned during the experiment;Not Demand Compliant;no;NA;yes;6; 0,28890084;Learning_Inconsistent_First;-0,28890084; 0,28890084
       34;38;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 2; 2; 1; 0; 1; 0;-2;-1;-2;-2;-1;-1;-1;-1; 2,00;-1,75; 0,50;-1,00;  3,75; 1,50;  3,75;  1,50;I would try Brand 1;I would try Brands 2 and 4; 3; 3; 3; 1;What I learned during the experiment;Not Demand Compliant;yes;4;no;NA; 0,18893780;Learning_Inconsistent_First;-0,18893780;-0,18893780
       35;33;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5;-5;-5;-5; 5,00;-5,00; 5,00;-5,00; 10,00;10,00; 10,00; 10,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,63062273;Learning_Consistent_First; 0,63062273; 0,63062273
       36;27;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 0;-1;-1;-1; 1; 1; 1; 1; 0; 0; 0; 0; 1,00; 1,00;-0,75; 0,00;  0,00;-0,75;  0,00; -0,75;I would try Brand 1;I would try Brand 2; 3; 3; 3; 3;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;no;NA;no;NA;-0,04490879;Learning_Inconsistent_First; 0,04490879; 0,04490879
       40;20;M;Implicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 1; 1; 2; 1; 0; 0; 0; 0;-1;-1;-1;-1; 0,00; 0,00; 1,25;-1,00;  0,00; 2,25;  0,00;  2,25;I would try Brand 3;I would try Brand 4;-1; 2;-1; 2;What I learned during the experiment;Not Demand Compliant;no;NA;yes;3; 0,56180473;Learning_Inconsistent_First;-0,56180473;-0,56180473
       41;34;M;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1;-1;-1;-1;-1; 0;-1; 1; 2; 2; 2; 2; 2; 2; 2; 2;-1,00; 2,00;-0,25; 2,00; -3,00;-2,25; -3,00; -2,25;I would try Brand 3;I would try Brand 4; 3;-2; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA;-0,43259372;Learning_Consistent_First;-0,43259372;-0,43259372
       42;23;F;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-3;-3;-3;-3; 1; 2; 2; 2; 0; 0; 3; 2; 2; 3; 2; 0;-3,00; 1,25; 1,75; 1,75; -4,25; 0,00; -4,25;  0,00;I would try Brand 1;I would try Brand 4;-1; 2;-1;-1;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA;-0,24310433;Learning_Inconsistent_First; 0,24310433; 0,24310433
       43;37;M;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0,50; 0,25; 0,00; 0,00;  0,25; 0,00;  0,25;  0,00;I would try Brands 1 and 3;I would try Brand 4; 0; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it;-0,35328774;Learning_Consistent_First;-0,35328774;-0,35328774
       46;19;M;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA; 0,23462608;Learning_Inconsistent_First;-0,23462608;-0,23462608
       47;25;M;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-2;-2;-2; 1; 1; 1; 1; 2; 3; 3; 3;-2;-2; 0; 0;-2,00; 2,75; 1,00;-1,00; -4,75; 2,00; -4,75;  2,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 2; 2; 2; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;3;no;NA;-0,04777397;Learning_Consistent_First;-0,04777397;-0,04777397
       48;36;F;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-4;-4;-4;-4;-5;-5;-5;-5;-4;-4;-5;-5;-3;-3;-3;-2;-4,00;-4,50;-5,00;-2,75;  0,50;-2,25;  0,50; -2,25;I would try Brand 1;I would try Brand 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7;no;NA; 0,40804466;Learning_Inconsistent_First;-0,40804466;-0,40804466
       49;26;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brand 4; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,21939612;Learning_Consistent_First; 0,21939612;-0,21939612
       53;34;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I don't know;I would try Brand 4; 5; 5; 5; 5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it;-0,21950467;Learning_Consistent_First;-0,21950467; 0,21950467
       56;31;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 1; 1; 1;-1;-1;-1; 0; 1;-1;-1; 1; 0;-1;-1;-1; 1,25; 0,00;-0,75;-0,75;  1,25; 0,00; -1,25;  0,00;I would try Brand 1;I would try Brand 4; 1; 0; 1; 0;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,34896974;Learning_Inconsistent_First;-0,34896974; 0,34896974
       57;18;F;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-2;-2; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0;-2;-2;-2,00; 2,00; 0,00;-1,00; -4,00; 1,00;  4,00; -1,00;I would try Brand 3;I would try Brands 2 and 4;-2; 0; 2; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,08536175;Learning_Consistent_First;-0,08536175; 0,08536175
       59;23;M;Implicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 1; 1; 2; 3; 2; 4; 2;-3;-2;-3;-3;-4;-4;-4;-4; 1,50;-2,75; 2,75;-4,00;  4,25; 6,75; -4,25; -6,75;I would try Brand 1;I would try Brands 2 and 4;-3; 3; 1; 4;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,53455284;Learning_Consistent_First; 0,53455284;-0,53455284
       61;23;M;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-1;-1;-1; 1; 1; 1; 1; 2; 2; 1; 2;-1;-1;-1;-1;-1,00; 1,75; 1,00;-1,00; -2,75; 2,00;  2,75; -2,00;I would try Brand 3;I would try Brand 4; 3; 4; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,22715287;Learning_Consistent_First; 0,22715287;-0,22715287
       62;35;M;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 3; 3; 3; 3; 3; 3; 3; 2;-3;-3;-3;-3;-3;-3;-3; 3; 3,00;-3,00; 2,75;-1,50;  6,00; 4,25; -6,00; -4,25;I would try Brand 1;I would try Brand 2; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;2;no;NA;-0,40197482;Learning_Inconsistent_First; 0,40197482;-0,40197482
       63;30;F;Implicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,26317964;Learning_Consistent_First; 0,26317964;-0,26317964
       65;34;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2; 2; 2; 2; 1; 1; 1; 1;-3;-2;-2;-3;-2;-2;-1;-1; 1,00;-2,50; 1,00;-1,50;  3,50; 2,50;  3,50;  2,50;I would try Brand 1;I would try Brand 2; 2; 1; 2; 1;What I learned during the experiment;Not Demand Compliant;yes;2;yes;7; 0,52127418;Learning_Consistent_First; 0,52127418; 0,52127418
       69;23;F;Explicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 4;-5;-5;-5;-5;-4;-5;-5;-5; 5,00;-5,00; 4,75;-4,75; 10,00; 9,50; 10,00;  9,50;I would try Brand 1;I would try Brand 2; 4; 3; 4;-3;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;9=I very strongly believed it; 1,03105938;Learning_Consistent_First; 1,03105938; 1,03105938
       71;32;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3;-3;-2;-1; 0;-3;-2;-2;-1; 3; 3; 5; 3; 3,00;-2,00;-1,50; 3,50;  5,00;-5,00;  5,00; -5,00;I would try Brand 1;I would try Brand 4; 2; 4; 2;-2;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,16826993;Learning_Consistent_First; 0,16826993; 0,16826993
       72;33;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5;-5;-5;-5; 5,00;-5,00; 5,00;-5,00; 10,00;10,00; 10,00; 10,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA;-0,10102276;Learning_Inconsistent_First; 0,10102276; 0,10102276
       74;24;M;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-3;-2;-2; 1;-1;-1;-2; 2; 2; 2; 1; 1; 1; 1; 1;-2,25; 1,75;-0,75; 1,00; -4,00;-1,75; -4,00; -1,75;I would try Brand 3;I would try neither Brand;-2;-1; 2; 1;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA;-0,69509697;Learning_Inconsistent_First; 0,69509697; 0,69509697
       75;37;M;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try neither Brand;I would try neither Brand; 0; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA; 0,36625586;Learning_Consistent_First; 0,36625586; 0,36625586
       76;32;F;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I don't know;I would try Brands 2 and 4; 3; 4; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;2;no;NA; 0,11820711;Learning_Inconsistent_First;-0,11820711;-0,11820711
       77;30;F;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brand 1;I would try neither Brand; 0; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it;-0,04051304;Learning_Consistent_First;-0,04051304;-0,04051304
       78;36;F;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 4; 0; 2; 2; 3; 2; 3; 0; 0; 0; 0; 3; 3; 3; 3; 2,25; 0,00; 2,50; 3,00;  2,25;-0,50;  2,25; -0,50;I would try Brand 1;I would try Brand 4; 3; 3;-2; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,38530058;Learning_Inconsistent_First;-0,38530058;-0,38530058
       79;37;M;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-2;-2;-2; 0; 1; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0;-2,00; 2,00; 0,25; 0,00; -4,00; 0,25; -4,00;  0,25;I would try Brand 3;I would try Brands 2 and 4; 3; 5; 3; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,64552466;Learning_Consistent_First; 0,64552466; 0,64552466
       81;23;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-3;-3;-3;-3; 3; 3; 3; 3; 3; 3; 3; 3;-3,00; 3,00;-3,00; 3,00; -6,00;-6,00;  6,00;  6,00;I would try Brand 3;I would try Brand 4; 4; 4; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;2;no;NA; 0,39825946;Learning_Consistent_First; 0,39825946;-0,39825946
       82;31;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-3;-5; 0;-3; 0; 0; 4; 5; 4;-5; 4; 4; 4; 4;-4,50; 2,00;-0,75; 4,00; -6,50;-4,75;  6,50;  4,75;I would try Brand 3;I don't know; 5; 3; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;3;no;NA; 0,22478745;Learning_Inconsistent_First;-0,22478745; 0,22478745
       83;20;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-4;-4;-4;-4; 4; 4; 4; 4; 4; 4; 4; 4;-4;-4;-4;-4;-4,00; 4,00; 4,00;-4,00; -8,00; 8,00;  8,00; -8,00;I would try Brand 3;I would try Brand 2; 4; 4; 4; 4;What I thought the experimenter wanted me to say;Demand Compliant;no;NA;yes;5=I moderately believed it; 0,65426381;Learning_Consistent_First; 0,65426381;-0,65426381
       84;22;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 3; 3; 3; 3; 0; 0; 0; 0; 3; 3; 3; 3; 0; 0; 0; 0; 3,00; 3,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,46039169;Learning_Inconsistent_First; 0,46039169;-0,46039169
       85;24;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-3;-2;-3;-2;-3;-2; 3; 3; 3; 3; 3; 3; 3; 3;-2,25; 3,00;-2,50; 3,00; -5,25;-5,50;  5,25;  5,50;I would try Brand 3;I would try Brand 4; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it;-0,03374496;Learning_Consistent_First;-0,03374496; 0,03374496
       87;24;No Gender Info Provided;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt;no;NA; 0,35542884;Learning_Consistent_First; 0,35542884;-0,35542884
       88;24;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 1; 0; 0; 0;-1; 0; 0; 0; 0; 0; 0; 0;-1; 1; 0; 0; 0,25; 0,00;-0,25; 0,00;  0,25;-0,25; -0,25;  0,25;I don't know;I would try Brands 2 and 4;-1;-1;-1;-2;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,10265496;Learning_Inconsistent_First;-0,10265496; 0,10265496
       90;26;M;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0;-1;-1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0;-0,50; 1,00; 0,00; 0,00; -1,50; 0,00;  1,50;  0,00;I would try Brand 3;I would try Brand 2; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,26711165;Learning_Inconsistent_First; 0,26711165;-0,26711165
       95;20;M;Implicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 5; 5; 5; 5; 0; 0; 0; 0;-5;-5;-5;-5; 0; 0; 0; 0; 5,00;-5,00; 0,00; 0,00; 10,00; 0,00;-10,00;  0,00;I would try Brands 1 and 3;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt;yes;9=I very strongly believed it; 0,22170482;Learning_Consistent_First; 0,22170482;-0,22170482
