experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,completeness_acquisition_training,completeness_acquisition_testing,completeness_extinction_training,completeness_extinction_testing,complete_iat_data,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_training,mean_correct_extinction_testing,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_training,passed_performance_criterion_extinction_testing,passed_iat_performance,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_OEC_controlling_stimulus_identity,behavioral_intentions_IR,behavioral_intentions_IR_controlling_stimulus_identity,task_order,iat_block_order,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
3,3_130,25,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,NA,NA,NA,NA,1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_129,21,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.9,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,6,6,1,1,0.7585318109729893,0.7585318109729893,brand_A,brand_A,both,both,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,5,5,5,5,no,NA
3,3_106,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,1,1,0.375,TRUE,TRUE,TRUE,FALSE,TRUE,6,6,0,0,0.6923364399355261,0.6923364399355261,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,7,5,5,5,5,no,NA
3,3_105,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,0,0,0.14498662332443454,0.14498662332443454,brand_B,brand_B,brand_B,brand_B,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,0,0,0,0,no,NA
3,3_97,29,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,8.75,8.75,8.5,8.5,0.6594993904870772,0.6594993904870772,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,4,5,5,4,yes,3
3,3_99,30,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,0.625,NA,NA,TRUE,FALSE,NA,NA,TRUE,1,1,0,0,0.819869307208084,0.819869307208084,both,both,both,both,Implicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,0,0,3,yes,8
3,3_76,31,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,0.75,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-1.75,-1.75,3,3,0.2982737192453544,0.2982737192453544,brand_B,brand_B,brand_A,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,-1,1,1,1,yes,6
3,3_73,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.55,0.5,0.9,0.5,FALSE,FALSE,TRUE,FALSE,TRUE,-0.5,-0.5,0.75,0.75,0.7806070505786789,0.7806070505786789,brand_A,brand_A,brand_B,brand_B,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,3,2,2,2,no,NA
3,3_65,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.7,0.625,NA,NA,FALSE,FALSE,NA,NA,TRUE,0,0,0,0,0.2747646012712772,0.2747646012712772,brand_A,brand_A,idontknow,idontknow,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,0,0,0,0,yes,5
3,3_67,27,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,3,3,2,2,1.0581050356543589,1.0581050356543589,brand_A,brand_A,both,both,Implicits First,learning_consistent_first,Not Demand Compliant,yes,4,3,2,2,2,no,NA
3,3_35,27,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,7.25,7.25,6,6,0.3769457275303315,0.3769457275303315,neither,neither,neither,neither,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,4,2,3,4,no,NA
3,3_41,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,0.75,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0.3987304097460106,0.3987304097460106,idontknow,idontknow,idontknow,idontknow,Explicits First,learning_consistent_first,Not Demand Compliant,yes,1,-1,5,-1,5,no,NA
3,3_42,33,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.9,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,6.25,6.25,-4.75,-4.75,0.4426368192990747,0.4426368192990747,brand_A,brand_A,brand_B,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,3,3,3,3,no,NA
3,3_33,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,NA,1,0.625,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_36,30,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,FALSE,6.25,6.25,0,0,1.1519035699831743,1.1519035699831743,brand_A,brand_A,idontknow,idontknow,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,3,3,3,3,no,NA
3,3_4,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-0.25,-0.25,3.75,3.75,-0.10267393188521964,-0.10267393188521964,brand_B,brand_B,brand_A,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,1,2,0,4,yes,5
3,3_11,21,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,4,4,4,4,0.5017008323328767,0.5017008323328767,brand_A,brand_A,brand_A,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,7,2,2,-2,-2,no,NA
3,3_2,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicits First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_174,29,non-binary,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.5,0.95,0.25,TRUE,FALSE,TRUE,FALSE,TRUE,9.75,9.75,9,9,-0.4621205229333586,-0.4621205229333586,brand_A,brand_A,brand_B,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,2,4,5,5,5,no,NA
3,3_175,28,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,8,8,7.75,7.75,0.24228827529388208,0.24228827529388208,brand_A,brand_A,brand_A,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,2,4,5,4,5,yes,9
3,3_173,22,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0.3684035228082661,0.3684035228082661,neither,neither,both,both,Explicits First,learning_consistent_first,Not Demand Compliant,yes,7,4,4,4,4,no,NA
3,3_167,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,0,0,0,0.8847381562998029,0.8847381562998029,idontknow,idontknow,idontknow,idontknow,Implicits First,learning_consistent_first,Not Demand Compliant,yes,8,0,0,0,0,yes,6
3,3_168,18,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,2.75,2.75,0,0,-0.16743929186333528,-0.16743929186333528,neither,neither,neither,neither,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,0,2,2,2,no,NA
3,3_144,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,1,0.95,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,4,4,0.5,0.5,9.93965839850952e-4,9.93965839850952e-4,brand_A,brand_A,brand_A,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,3,3,3,3,no,NA
3,3_133,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,0.875,NA,NA,TRUE,TRUE,NA,NA,FALSE,-0.25,-0.25,2.25,2.25,0.16335224165226483,0.16335224165226483,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,4,0,2,yes,5
3,3_143,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.7,0.5,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,-2.25,-2.25,1,1,0.28993494289967137,0.28993494289967137,both,both,both,both,Implicits First,learning_consistent_first,Not Demand Compliant,yes,3,1,1,1,1,no,NA
3,3_141,23,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.5,1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,-6,-6,1.25,1.25,0.8113861147227732,0.8113861147227732,brand_B,brand_B,brand_A,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,1,1,1,1,1,no,NA
3,3_110,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.1,0.25,0.15,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.398337752564798,0.398337752564798,both,both,both,both,Explicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,0,0,0,0,no,NA
3,3_109,26,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.5,0.375,1,0.5,FALSE,FALSE,TRUE,FALSE,TRUE,0.75,0.75,-0.25,-0.25,-0.003602820415470366,-0.003602820415470366,neither,neither,brand_B,brand_B,Explicits First,learning_consistent_first,Demand Compliant,yes,5,0,5,0,5,yes,5
3,3_78,18,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.85,0.875,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,6,6,0,0,-0.28654353144304323,-0.28654353144304323,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_inconsistent_first,Demand Compliant,yes,3,4,3,3,3,no,NA
3,3_79,28,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,0.625,1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,10,10,0.7949707325941018,0.7949707325941018,idontknow,idontknow,brand_A,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,1,0,5,0,5,no,NA
3,3_80,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,0.75,1,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,-0.3668246685405416,-0.3668246685405416,idontknow,idontknow,idontknow,idontknow,Implicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,5,5,5,5,no,NA
3,3_70,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,6.25,6.25,6,6,-0.26823293837826473,-0.26823293837826473,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,3,3,3,3,no,NA
3,3_46,27,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.3,0.625,0.9,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0.16718006922565246,0.16718006922565246,brand_B,brand_B,brand_B,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,0,0,0,0,no,NA
3,3_47,38,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.65,0.25,0.8,0.75,FALSE,FALSE,TRUE,TRUE,TRUE,-0.5,-0.5,0,0,0.4162183163832382,0.4162183163832382,neither,neither,brand_B,brand_B,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,4,3,4,4,no,NA
3,3_45,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,2.75,2.75,0.519062177059846,0.519062177059846,both,both,both,both,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,-1,0,-2,-2,no,NA
3,3_37,25,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,7.5,7.5,7.25,7.25,0.4714001303062766,0.4714001303062766,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,1,5,4,5,4,no,NA
3,3_39,27,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,6.25,6.25,6,6,0.7928376777930319,0.7928376777930319,brand_A,brand_A,brand_A,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,3,3,3,3,yes,5
3,3_38,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-1,-1,1,1,-0.01753414830951121,-0.01753414830951121,neither,neither,idontknow,idontknow,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,3,3,3,3,yes,3
3,3_6,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,2,2,0.25,0.25,-0.411683838752771,-0.411683838752771,both,both,brand_B,brand_B,Explicits First,learning_inconsistent_first,Demand Compliant,yes,6,-3,3,-3,4,no,NA
3,3_14,23,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.5,1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,-0.75,-0.75,2,2,0.5541274328919894,0.5541274328919894,neither,neither,brand_A,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,4,3,4,4,no,NA
3,3_15,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0.6168431228043987,0.6168431228043987,both,both,both,both,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,5,5,5,5,yes,5
3,3_179,39,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.5,0.875,NA,NA,FALSE,TRUE,NA,NA,TRUE,-1,1,-2,2,-0.4460021822477199,0.4460021822477199,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,1,1,1,1,1,yes,5
3,3_177,23,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-2,2,-1,1,0.3182710550972085,-0.3182710550972085,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,0,2,0,3,yes,7
3,3_146,22,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.9,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,-0,0,-0,-0.13959219092531594,0.13959219092531594,neither,neither,neither,neither,Explicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,-5,-5,-5,-5,no,NA
3,3_145,32,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,-7.75,7.75,-6.5,6.5,0.837851766993702,-0.837851766993702,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,1,5,5,3,3,yes,5
3,3_155,34,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,0,-0,0,-0,NaN,NaN,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,0,0,0,no,NA
3,3_147,23,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,5,-5,0,-0,-0.3328740059049039,0.3328740059049039,neither,neither,neither,neither,Implicits First,learning_consistent_first,Not Demand Compliant,yes,1,5,5,4,5,no,NA
3,3_153,25,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-7.5,7.5,-7.5,7.5,0.49922329244252134,-0.49922329244252134,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,5,5,5,5,yes,5
3,3_148,28,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-6,6,-8,8,-0.5434982863798008,0.5434982863798008,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,1,2,1,2,no,NA
3,3_122,37,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.625,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,-0,0,-0,-0.5609573223951139,0.5609573223951139,both,both,brand_B,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,2,0,2,2,yes,8
3,3_124,33,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.75,0.75,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0,-0,0,-0,-0.6693570885479203,0.6693570885479203,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,0,0,0,0,no,NA
3,3_123,21,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.9,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-3,3,-0.75,0.75,-0.4717223222585164,0.4717223222585164,both,both,brand_A,brand_B,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,0,-1,1,1,yes,2
3,3_114,28,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-1,1,0,-0,-0.10982482291336075,0.10982482291336075,both,both,both,both,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,5,5,5,5,no,NA
3,3_115,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,-0,0,-0,-0.3302164642920691,0.3302164642920691,both,both,both,both,Implicits First,learning_consistent_first,Not Demand Compliant,no,NA,3,3,3,3,no,NA
3,3_113,25,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.9,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-6.75,6.75,-6.25,6.25,-0.20337652375986265,0.20337652375986265,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,7,4,4,4,4,yes,7
3,3_89,35,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.75,0.95,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0,-0,0,-0,0.2223296042048686,-0.2223296042048686,both,both,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,6,3,3,1,3,no,NA
3,3_92,27,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,partial,NA,NA,partial,NA,0.2222222222222222,NA,NA,0.2,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,NA,NA,NA,NA,no,NA
3,3_84,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,-6,6,-8.5,8.5,-0.4039637529488569,0.4039637529488569,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,4,5,4,5,yes,9
