subject;Age;Gender;training_condition;task_order;training_performance;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
 55;30;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 3;-1; 3; 3;-3;-3;-3;-3; 3;-2;-3; 3; 3; 3; 3; 3; 2,00; 0,25;-3,00; 3,00;  1,75; -6,00; -1,75;  6,00;I would try neither Brand;I would try Brand 4; 3; 4; 4; 3;What I learned during the experiment;Not Demand Compliant;yes;3;-0,010436792;Learning_Consistent_First;-0,010436792; 0,010436792
 56;20;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-4;-4;-3;-3;-2;-3;-2; 3; 3; 4; 2; 3; 3; 3; 2;-3,50; 3,00;-2,50; 2,75; -6,50; -5,25;  6,50;  5,25;I would try Brand 3;I would try Brand 4; 5; 3; 5; 3;What I learned during the experiment;Not Demand Compliant;yes;2; 0,605382346;Learning_Inconsistent_First;-0,605382346; 0,605382346
 57;29;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,480698763;Learning_Consistent_First; 0,480698763; 0,480698763
 61;33;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5; 0; 0; 0; 0; 4; 4; 4; 4; 2; 2; 2; 2;-5,00; 4,00; 0,00; 2,00; -9,00; -2,00;  9,00;  2,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;-0,687841798;Learning_Consistent_First;-0,687841798; 0,687841798
 66;23;F;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0;-5;-5;-5;-5; 0; 0; 0; 0;-5;-5;-5;-5; 0,00; 0,00;-5,00;-5,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try neither Brand; 0; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,300406039;Learning_Inconsistent_First;-0,300406039;-0,300406039
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 69;28;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 2; 5; 3; 3; 2; 4; 5; 4; 3; 5; 3; 3; 4; 4; 0; 3,50; 3,75; 3,50; 2,75; -0,25;  0,75;  0,25; -0,75;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,129850953;Learning_Consistent_First; 0,129850953;-0,129850953
 71;38;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt; 0,382078898;Learning_Consistent_First; 0,382078898;-0,382078898
 74;37;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brand 2; 1; 3; 1; 3;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,126056276;Learning_Inconsistent_First;-0,126056276;-0,126056276
 76;21;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 0; 5; 0; 0; 0; 0;-5;-5;-5;-5; 0; 0; 0; 0; 3,75;-5,00; 0,00; 0,00;  8,75;  0,00;  8,75;  0,00;I would try Brand 1;I would try neither Brand; 5; 0;-5; 0;What I learned during the experiment;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt; 0,671212898;Learning_Inconsistent_First;-0,671212898;-0,671212898
 77;23;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 3; 2; 2; 2; 3; 3; 3; 2; 0; 1; 2; 2; 0; 2; 3; 2; 2,25; 1,25; 2,75; 1,75;  1,00;  1,00; -1,00; -1,00;I would try Brand 1;I would try Brand 4; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,022906107;Learning_Consistent_First; 0,022906107;-0,022906107
 78;35;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2; 2; 2; 2; 2; 2; 2;-2;-2;-2;-2;-2;-2;-2;-2; 2,00;-2,00; 2,00;-2,00;  4,00;  4,00; -4,00; -4,00;I would try Brand 1;I would try Brand 2; 1; 1; 1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;7; 0,560833408;Learning_Inconsistent_First;-0,560833408; 0,560833408
 79;31;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 1; 1; 1; 2; 0; 0; 0; 0;-1;-1;-1;-1; 0,00; 0,00; 1,25;-1,00;  0,00;  2,25;  0,00; -2,25;I would try neither Brand;I would try neither Brand; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,142446944;Learning_Consistent_First; 0,142446944;-0,142446944
 80;34;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-3;-3;-3;-3; 5; 5; 5; 5; 4; 4; 4; 4;-3,00; 5,00;-3,00; 4,00; -8,00; -7,00;  8,00;  7,00;I would try Brand 3;I would try Brand 4; 0; 4; 5; 4;What I learned during the experiment;Not Demand Compliant;yes;2; 0,545791167;Learning_Inconsistent_First;-0,545791167; 0,545791167
 81;33;M;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,75; 0,00; 0,00; 0,00;  0,75;  0,00;  0,75;  0,00;I don't know;I would try Brand 4;-4;-4;-4;-4;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,347967501;Learning_Consistent_First; 0,347967501; 0,347967501
 83;23;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1;-1;-1; 1; 2; 1; 2; 2; 1; 1; 1; 1;-1; 0; 0; 0;-0,50; 1,00; 1,75;-0,25; -1,50;  2,00; -1,50;  2,00;I would try Brand 3;I would try Brands 2 and 4; 2; 2; 2; 2;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;2; 0,259923992;Learning_Consistent_First; 0,259923992; 0,259923992
 85;33;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I don't know;I don't know; 0; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,158355403;Learning_Consistent_First; 0,158355403;-0,158355403
 87;18;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 5; 4; 5; 5; 0; 0; 0; 0; 3; 3; 3; 4; 0,00; 0,00; 4,75; 3,25;  0,00;  1,50;  0,00; -1,50;I would try neither Brand;I would try neither Brand; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;6; 0,151450177;Learning_Consistent_First; 0,151450177;-0,151450177
 88;35;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 1; 1; 1; 3; 2; 2; 2;-2; 1;-2;-2;-1; 2; 2;-2; 1,25;-1,25; 2,25; 0,25;  2,50;  2,00; -2,50; -2,00;I would try Brands 1 and 3;I would try Brands 2 and 4;-4;-3;-4;-3;What I learned during the experiment;Not Demand Compliant;yes;2; 0,200956755;Learning_Inconsistent_First;-0,200956755; 0,200956755
 90;34;F;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 2; 2; 2; 2; 1; 1; 2; 2; 1; 2; 2; 2; 2; 1; 2,00; 1,75; 1,50; 1,75;  0,25; -0,25;  0,25; -0,25;I would try neither Brand;I would try Brands 2 and 4; 1; 1; 1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,043063268;Learning_Inconsistent_First; 0,043063268; 0,043063268
 93;22;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-1;-1;-2; 5; 5; 5; 5; 4; 3; 4; 4; 4; 4; 4; 4;-1,25; 3,75; 5,00; 4,00; -5,00;  1,00;  5,00; -1,00;I would try Brands 1 and 3;I would try Brand 4; 1; 5; 2; 3;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,211408867;Learning_Consistent_First; 0,211408867;-0,211408867
 95;35;M;Acquisition_Only;Implicits First;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 2; 0; 3; 3; 3; 2; 2; 2; 2; 0,00; 2,25; 2,00; 2,00; -2,25;  0,00;  2,25;  0,00;I would try Brand 3;I would try Brands 2 and 4; 0; 2; 0; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;3; 0,241118523;Learning_Consistent_First; 0,241118523;-0,241118523
 97;30;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 1; 3; 2; 1; 1; 1; 1;-1;-3;-1;-3; 1; 1; 2; 2; 2,00;-2,00; 1,00; 1,50;  4,00; -0,50;  4,00; -0,50;I would try neither Brand;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,456564161;Learning_Consistent_First; 0,456564161; 0,456564161
100;36;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 4; 4; 4; 4; 4; 4;-4;-4;-4;-4;-4;-4;-4;-4; 4,00;-4,00; 4,00;-4,00;  8,00;  8,00;  8,00;  8,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,026638850;Learning_Inconsistent_First;-0,026638850;-0,026638850
105;22;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 2; 2; 1; 2; 2; 2; 1; 2; 3; 2; 1; 2; 3,00; 1,75; 1,75; 2,00;  1,25; -0,25;  1,25; -0,25;I would try neither Brand;I would try Brand 4; 3; 3; 3; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,234709463;Learning_Consistent_First; 0,234709463; 0,234709463
109;27;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I don't know;I don't know; 5; 5; 5; 5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,173094268;Learning_Consistent_First;-0,173094268; 0,173094268
