subject;stimulus_identity
 88;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 89;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 90;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 91;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 95;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 96;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 99;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
100;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
101;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
102;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
105;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
106;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
109;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
111;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
112;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
114;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
115;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
116;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
117;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
119;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
121;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
122;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
125;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
126;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
127;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
129;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
131;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
132;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
133;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
136;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
137;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
139;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
141;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
142;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
144;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
145;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
147;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
149;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
151;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
152;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
153;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
156;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
157;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
158;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
159;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
161;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
162;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
163;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
164;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
